ANO,MÊS,Estado de São Paulo (TOTAL),Metropolitana de São Paulo (TOTAL),Região Metropolitana de São Paulo (RMSP),Município de São Paulo,Demais municípios da RMSP,Demais municípios da MSP,Ribeirão Preto,Campinas,São José do Rio Preto,Bauru,Vale do Paraíba Paulista,Presidente Prudente,Macro Metropolitana Paulista,Piracicaba,Itapetininga,Assis,Araçatuba,Litoral Sul Paulista,Araraquara,Marília
2012,jan.-12,62 930,23 503,21 396,14 033,7 363,2 107,5 014,7 753,3 246,3 768,3 170,1 062,5 016,2 628,1 497,1 109,1 557,1 609,1 410,588
2012,fev.-12,68 276,25 516,23 568,15 356,8 212,1 948,5 676,7 784,4 074,3 001,3 716,1 112,5 666,2 703,1 771,945,2 116,1 569,1 887,740
2012,mar.-12,81 042,30 223,28 374,18 224,10 150,1 849,6 750,10 670,4 739,3 689,4 197,1 322,7 088,2 901,1 588,1 086,1 771,1 713,2 330,975
2012,abr.-12,74 790,28 254,26 484,17 316,9 168,1 770,5 299,9 420,4 309,3 808,4 307,1 176,6 907,2 159,1 847,1 077,1 671,1 601,2 130,825
2012,mai.-12,83 006,31 280,28 477,18 023,10 454,2 803,6 762,10 549,4 870,4 470,4 149,1 373,7 081,2 825,1 567,1 181,1 797,1 813,2 241,1 048
2012,jun.-12,82 266,32 063,29 326,19 437,9 889,2 737,5 844,9 767,5 325,3 973,4 115,1 189,6 958,3 220,1 705,1 359,2 124,1 523,2 197,904
2012,jul.-12,86 825,33 106,30 343,19 867,10 476,2 763,7 028,10 676,5 837,4 027,4 585,1 426,7 003,3 111,2 194,1 451,1 776,1 666,2 082,857
2012,ago.-12,90 472,33 226,29 895,18 501,11 394,3 331,7 252,10 715,5 709,4 292,4 985,1 521,8 264,3 169,2 022,1 790,2 043,1 565,2 836,1 083
2012,set.-12,84 445,32 904,30 390,20 027,10 363,2 514,6 583,10 488,5 227,4 168,4 292,1 337,7 037,2 721,1 945,1 281,1 586,1 568,2 407,901
2012,out.-12,93 316,36 629,32 401,20 957,11 444,4 228,6 944,11 192,5 449,4 395,4 821,1 547,7 640,3 882,2 137,1 239,1 811,1 962,2 645,1 023
2012,nov.-12,82 028,31 372,27 869,18 489,9 380,3 503,5 557,10 461,5 350,4 358,4 727,1 204,6 260,2 841,2 039,1 571,1 413,1 558,2 493,824
2012,dez.-12,82 679,32 619,29 063,18 560,10 503,3 556,6 295,10 118,4 549,3 817,4 615,1 552,6 777,2 378,1 975,1 541,1 567,1 733,2 305,838
2013,jan.-13,95 285,36 714,32 047,21 031,11 016,4 667,7 199,12 038,5 920,4 747,5 075,1 546,7 836,3 320,2 100,1 046,2 020,1 812,2 666,1 246
2013,fev.-13,72 861,27 273,24 242,15 955,8 287,3 031,5 906,8 781,4 502,3 644,3 933,1 073,5 875,2 665,1 976,1 138,1 405,1 542,2 358,790
2013,mar.-13,74 512,29 265,26 144,16 746,9 398,3 121,5 535,9 713,4 256,3 762,4 172,1 116,5 696,2 591,1 639,1 047,1 551,1 357,2 003,809
2013,abr.-13,88 027,34 499,29 997,18 092,11 905,4 502,6 101,10 753,4 869,4 636,5 537,1 495,7 085,3 203,1 849,1 283,2 012,1 249,2 628,828
2013,mai.-13,82 275,32 361,28 324,17 274,11 050,4 037,5 541,9 416,4 886,4 313,4 925,1 268,7 189,2 598,1 548,1 236,2 096,1 603,2 611,684
2013,jun.-13,79 449,30 782,26 873,16 172,10 701,3 909,5 214,8 867,4 933,4 375,5 084,1 259,6 458,2 442,1 595,1 491,2 017,1 715,2 364,853
2013,jul.-13,86 821,32 943,29 039,17 452,11 587,3 904,6 034,9 774,5 457,4 677,5 175,1 512,7 784,3 233,1 940,1 338,2 080,1 399,2 431,1 044
2013,ago.-13,88 302,34 336,30 121,17 453,12 668,4 215,6 545,10 253,5 134,4 280,5 654,1 374,7 337,2 963,1 575,1 375,2 129,1 626,2 742,979
2013,set.-13,85 873,33 606,29 366,17 317,12 049,4 240,6 593,10 143,4 800,4 349,5 214,1 322,7 057,3 043,1 588,1 234,1 908,1 439,2 725,852
2013,out.-13,87 388,33 519,29 515,18 012,11 503,4 004,6 167,11 021,5 406,4 593,5 223,1 342,7 234,3 114,1 653,1 193,1 883,1 646,2 524,870
2013,nov.-13,78 141,29 703,25 670,15 485,10 185,4 033,5 676,9 066,4 796,4 390,5 117,1 168,6 278,3 148,1 442,1 140,1 645,1 495,2 148,929
2013,dez.-13,81 493,31 118,27 487,16 535,10 952,3 631,5 957,9 681,5 294,4 146,4 824,1 509,6 743,3 102,1 544,1 225,1 715,1 530,2 375,730
2014,jan.-14,86 062,33 977,29 102,18 067,11 035,4 875,6 063,9 745,5 441,3 854,4 893,1 629,7 411,3 402,1 605,1 355,1 788,1 273,2 741,885
2014,fev.-14,71 228,27 035,23 432,13 989,9 443,3 603,5 366,7 740,4 485,3 496,4 448,1 434,5 816,3 040,1 465,984,1 597,1 413,2 037,872
